longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_room ,population_per_household
-122.23,37.88,0.784313725,880.0,129.0,0.008940834,126.0,0.539668418,0.902266382,6.984126984126984,0.14659090909090908,7.0959e-05
-122.22,37.86,0.392156863,7099.0,1106.0,0.067210404,1138.0,0.538027062,0.708246564,6.238137082601054,0.15579659106916466,5.906010896309315e-05
-122.24,37.85,1.0,1467.0,190.0,0.013817652,177.0,0.466028055,0.695050742,8.288135593220339,0.12951601908657123,7.806583050847458e-05
-122.25,37.85,1.0,1274.0,235.0,0.015555369,219.0,0.354698556,0.672782793,5.8173515981735155,0.18445839874411302,7.102908219178082e-05
-122.25,37.85,1.0,1627.0,280.0,0.015751563,259.0,0.230776127,0.674638455,6.281853281853282,0.1720958819913952,6.081684555984556e-05
-122.25,37.85,1.0,919.0,213.0,0.011491353,193.0,0.243920774,0.525154535,4.761658031088083,0.23177366702937977,5.9540689119170984e-05
-122.25,37.84,1.0,2535.0,489.0,0.030578211,514.0,0.217872857,0.585979027,4.9319066147859925,0.19289940828402366,5.9490682879377436e-05
-122.25,37.84,1.0,3104.0,687.0,0.032343956,647.0,0.180694059,0.466804261,4.797527047913447,0.22132731958762886,4.999065842349304e-05
-122.26,37.84,0.803921569,2555.0,665.0,0.033717313,595.0,0.108998497,0.436495107,4.294117647058823,0.2602739726027397,5.666775294117647e-05
-122.25,37.84,1.0,3549.0,707.0,0.043386866,714.0,0.220086619,0.50742265,4.970588235294118,0.1992110453648915,6.0765918767507006e-05
-122.26,37.85,1.0,2202.0,434.0,0.025421116,402.0,0.186425015,0.549484332,5.477611940298507,0.19709355131698456,6.323660696517413e-05
-122.26,37.85,1.0,3503.0,752.0,0.042069565,734.0,0.191073227,0.467628999,4.772479564032698,0.2146731373108764,5.731548365122616e-05
-122.26,37.85,1.0,2491.0,474.0,0.030690322,468.0,0.177590654,0.409278725,5.322649572649572,0.1902850260939382,6.557761111111111e-05
-122.26,37.84,1.0,696.0,191.0,0.00958547,174.0,0.149908277,0.363505718,4.0,0.2744252873563218,5.508890804597701e-05
-122.26,37.85,1.0,2643.0,626.0,0.033885479,620.0,0.097708997,0.297320423,4.262903225806451,0.23685206205069997,5.465399838709678e-05
-122.26,37.85,0.960784314,1120.0,283.0,0.019451218,264.0,0.112074316,0.257732958,4.242424242424242,0.2526785714285714,7.367885606060606e-05
-122.27,37.85,1.0,1966.0,347.0,0.022141876,331.0,0.156901284,0.283506047,5.9395770392749245,0.17650050864699898,6.689388519637463e-05
-122.27,37.85,1.0,1228.0,293.0,0.018077861,303.0,0.111743286,0.289691589,4.052805280528053,0.23859934853420195,5.966290759075908e-05
-122.26,37.84,0.960784314,2239.0,455.0,0.027663331,419.0,0.102839961,0.2962895,5.343675417661098,0.20321572130415363,6.602226968973747e-05
-122.27,37.84,1.0,1503.0,298.0,0.019255024,275.0,0.145060068,0.304949258,5.465454545454546,0.19827012641383898,7.00182690909091e-05
-122.27,37.85,0.764705882,751.0,184.0,0.011379243,166.0,0.059164701,0.273196812,4.524096385542169,0.24500665778961384,6.854965662650603e-05
-122.27,37.85,0.803921569,1639.0,367.0,0.025953642,366.0,0.083695397,0.298557532,4.478142076502732,0.2239170225747407,7.091159016393442e-05
-122.27,37.84,1.0,2436.0,541.0,0.028364024,478.0,0.08448849,0.203918747,5.096234309623431,0.22208538587848933,5.9338962343096237e-05
-122.27,37.84,1.0,1688.0,337.0,0.023823538,325.0,0.115908746,0.174640517,5.193846153846154,0.19964454976303317,7.330319384615384e-05
-122.27,37.84,1.0,2224.0,437.0,0.028111774,422.0,0.144832485,0.242475289,5.270142180094787,0.19649280575539568,6.661557819905213e-05
-122.28,37.85,0.784313725,535.0,123.0,0.008800695,119.0,0.131301637,0.190722925,4.495798319327731,0.22990654205607478,7.395542016806723e-05
-122.28,37.85,0.941176471,1130.0,244.0,0.016928726,239.0,0.135156756,0.162475619,4.7280334728033475,0.215929203539823,7.083148953974896e-05
-122.28,37.85,1.0,1898.0,421.0,0.030802433,397.0,0.090212549,0.186599231,4.7808564231738035,0.22181243414120128,7.758799244332494e-05
-122.28,37.84,0.960784314,2082.0,492.0,0.031615236,473.0,0.078792017,0.193609511,4.40169133192389,0.23631123919308358,6.683982241014799e-05
-122.28,37.84,1.0,729.0,160.0,0.010986855,155.0,0.081902319,0.24123818,4.703225806451613,0.2194787379972565,7.088293548387097e-05
-122.28,37.84,0.941176471,1916.0,447.0,0.024103815,378.0,0.098446918,0.221238263,5.068783068783069,0.23329853862212943,6.376670634920635e-05
-122.28,37.84,1.0,2153.0,481.0,0.03265226,441.0,0.10079861,0.206599148,4.882086167800454,0.22340919647004182,7.404140589569161e-05
-122.27,37.84,0.921568627,1922.0,409.0,0.028672328,335.0,0.089447042,0.196702282,5.737313432835821,0.21279916753381894,8.558903880597015e-05
-122.27,37.83,0.941176471,1655.0,366.0,0.021048796,329.0,0.060350892,0.185362122,5.0303951367781155,0.22114803625377644,6.397810334346505e-05
-122.27,37.83,0.980392157,2665.0,574.0,0.035174753,536.0,0.153818568,0.195258989,4.972014925373134,0.2153846153846154,6.562453917910449e-05
-122.27,37.83,0.941176471,1215.0,282.0,0.015891701,264.0,0.068012855,0.169485899,4.6022727272727275,0.23209876543209876,6.019583712121213e-05
-122.27,37.83,0.921568627,1798.0,432.0,0.027579248,374.0,0.041192535,0.184537383,4.807486631016043,0.24026696329254726,7.374130481283423e-05
-122.28,37.83,1.0,1511.0,390.0,0.025168867,403.0,0.062785341,0.183300275,3.7493796526054592,0.25810721376571805,6.245376426799007e-05
-122.26,37.83,1.0,1470.0,330.0,0.019226996,309.0,0.205521303,0.363711902,4.757281553398058,0.22448979591836735,6.222328802588997e-05
-122.26,37.83,1.0,2432.0,715.0,0.038510048,696.0,0.144129046,0.331959456,3.4942528735632186,0.29399671052631576,5.533052873563218e-05
-122.26,37.83,1.0,1665.0,419.0,0.026430113,395.0,0.11019848,0.289485404,4.215189873417722,0.25165165165165165,6.691167848101266e-05
-122.26,37.83,0.980392157,936.0,311.0,0.014406233,249.0,0.054157874,0.278351429,3.7590361445783134,0.33226495726495725,5.7856357429718875e-05
-122.26,37.84,0.941176471,713.0,202.0,0.01286471,189.0,0.036213294,0.214021798,3.7724867724867726,0.28330995792426367,6.806724867724867e-05
-122.26,37.84,1.0,950.0,202.0,0.013004849,198.0,0.238920842,0.3583511,4.797979797979798,0.21263157894736842,6.568105555555555e-05
-122.26,37.83,1.0,1443.0,311.0,0.018414193,292.0,0.173280369,0.349278972,4.941780821917808,0.21552321552321552,6.306230479452054e-05
-122.26,37.83,1.0,1656.0,420.0,0.020039799,382.0,0.150128964,0.344949093,4.335078534031414,0.2536231884057971,5.246020680628273e-05
-122.26,37.83,0.960784314,1125.0,322.0,0.017180975,304.0,0.105246824,0.262887576,3.700657894736842,0.2862222222222222,5.651636513157895e-05
-122.27,37.82,0.823529412,1007.0,312.0,0.015555369,253.0,0.085164343,0.25257834,3.9802371541501977,0.3098311817279047,6.148367193675889e-05
